1,Slivered Almonds:22.88;Wholewheat flour:1.93;Grape Seed Oil:74.9
2,Albacore Tuna:36.92;Capers:97.99;Sultanas:2.82;Koshihikari rice:7.55
3,Lentils:7.17
4,Hiramasa Kingfish:78.37;Oatmeal:10.41;Mahi mahi:35.95;Bean Sprouts:16.5
5,Jelly:91.78;Quark Quinc:71.73;Macadamia Nut:79.19;Mackerel:52.71
6,Corn Syrup:84.47;Cottage Cheese:34.86
7,Scallops:61.49;Chickpea:73.54;Lychees:26.0
8,Pear Juice:20.26;SwordfishTabasco:22.9
9,Cucumber:59.72;Yoghurt:33.37
10,Parsnip:81.44;SpeltBread:85.25;Annatto seed:7.29;SpeltBread:54.72
11,Galangal:31.19;Coconut Oil:72.8
12,Brazil Nut:60.13;SwedeSweet Chilli Sauce:69.26;Sour Dough Bread:19.76;Basil Basmati rice:81.5
13,Watercress:28.62;Iceberg lettuce:39.17;WhiteFlour:8.31;Omega Spread:22.33
14,Cream Cheese:39.98;White Wine:69.25;Poppy Seed:49.35
15,Malt vinegar:85.52;Avocado Oil:40.11;Honeydew melon:39.97;Oysters:83.55
16,Purple RiceQuail:6.83
17,Polenta:88.77;Red Wine Vinegar:28.5
18,Kenchur:45.54
19,Avocado Oil:34.25;Slivered Almonds:16.81;Soy Sauce:92.38;Morwong:79.22
20,Hokkien Noodles:75.73;White wine vinegar:79.95;Yellowtail Kingfish:8.77;Cottage Cheese:91.21
21,Semolina:10.12;Tomatoes:56.75
22,Marjoram:33.7;Rose Water:32.46;Prunes:32.89;Greenwheat Freekeh:45.01
23,Vanilla Beans:0.86;Lobster:81.66
24,Tangelo:31.35
25,Anchovies:3.62;Cherries:86.84
26,Choy Sum:53.66;CarobCarrot:91.24
27,Spelt:13.44;Grapes:47.29;Dried Apricots:86.13;Bran:90.06
28,Cinnamon:23.76;Lychees:3.92;Rye:40.79
29,Soymilk:44.89;Peanuts:58.58
30,Goat Milk:44.72;Hijiki:45.47;Feta:4.61;Aubergine:69.45
31,Semolina:47.88;Cake:96.14;Ajowan Seed:41.85;Green Pepper:0.42
32,Red cabbage:83.78
33,Provolone:36.95
34,Artichoke:94.9;Bush Tomato:89.36;Maple Syrup:53.75;Plums:11.03
35,Fish Stock:25.78;Hummus:40.31
36,Brussels Sprouts:64.56
37,Bamboo Shoots:97.76;Barley:2.07
38,MilkChocolate:24.62;Artichoke:42.41
39,Beef:26.79;Taleggio cheese:80.64;Yellow Papaw:11.89;Wakame:2.91
40,Red Pepper:75.92;French eschallots:46.94;Blue Cheese:1.15
41,Arborio rice:95.84;Bacon:34.99;Bread:26.7
42,Soy Sauce:84.38
43,Vermicelli Noodles:17.18;Harissa:71.02;Quark Quinc:83.18;Tea Oil:94.23
44,GemGinger:8.13;Dill:67.21;Morwong:94.68;Eggs:94.35
45,Spearmint:59.07;Lentils:41.19
46,Corn Oil:53.98;Flaxseed:96.52
47,Cannellini Beans:59.33;Lentils:87.15;Trout:83.81;Beef:39.77
48,Butter:56.26;Baking Soda:69.3;Bacon:88.05;Kidney Beans:78.08
49,Cauliflower:25.62;Yellow Papaw:48.37;Scallops:7.28;Semolina:8.45
50,Spring Onions:32.07;Vinegar:10.51;Nectarines:12.58;Mung Beans:27.41
51,Parsnip:87.13;Paprik:39.61;Plums:40.54;Polenta:55.16
52,Candle Nut:92.21;Enoki Mushrooms:12.81;Vermicelli Noodles:74.38;Cardamom:65.66
53,Sake:74.69;Edam:20.8;Brazil Nut:71.3
54,Extra Virgin Olive Oil:56.42;Avocado:23.37;Butternut pumpkin:25.94
55,Sun dried tomatoes:45.43;Salmon:58.23;Custard ApplesDaikon:43.27
56,Red cabbage:97.21
57,Kidneys:82.0;Bamboo Shoots:24.02
58,Dashi:11.38
59,Wheatgrass juice:66.64;Tahini:2.59;Marigold:27.8
60,Turnips:8.56
61,Garlic:17.53
62,Oatmeal:26.35;SoyFlour:7.28;Banana:83.28;Lamb:76.72
63,Soymilk:25.45;Chestnut:94.36
64,Celery Seed:76.84;Harissa:51.77
65,Spelt:89.85;Tea:70.39;Yogurt:33.36;Nutritional Yeast:29.09
66,Corn Tortilla:80.93;Ajowan Seed:40.18
67,Miso:11.64;Provolone:55.72;Barley:66.14;Pear Juice:24.18
68,Eggplant:50.01;Mint:65.05
69,Tamarillo:9.31;Bush Tomato:82.88;Jerusalem Artichoke:2.57
70,Plums:10.41;Trout:4.03;Buckwheat Flour:39.45;Sardines:26.77
71,Arborio rice:39.26
72,Cherries:67.68;Kiwiberries:0.01;Yellow Papaw:12.1
73,Turkey:79.24;Yellow Papaw:2.52;Kenchur:7.31
74,Mozzarella:74.99;Common Cultivated Mushrooms:10.8;Cloves:30.01
75,Caraway Seed:69.91;Provolone:14.33;SwordfishTabasco:66.81
76,Mackerel:48.06;Oysters:43.16;Nasturtium:77.09
77,Molasses:53.23;Calamari:22.92;Tea:71.28;Soymilk:3.33
78,Brown Flour:8.15
79,Barberry:51.86;Cucumber:56.65;FlourRice:99.09;Mahi mahi:8.35
80,Oranges:87.52;Capsicum:19.31;Crabs:61.5
81,Mango:27.14;Wholewheat flour:97.83
82,Sunflower Seeds:3.62;Soymilk:94.92;Anchovies:26.51;Apricots:31.59
83,Camomile:53.7
84,Lavender Flowers:13.05;Tea Oil:26.54
85,Pasta:71.18;Peppers:37.57;Pandanus leaves:82.61
86,Saffron:28.54;Green beans:13.11;Bonito Flakes:31.51
87,Bamboo Shoots:46.89;Sesame seed:73.97;Aubergine:85.12;Yeast:27.49
88,Yoghurt:78.25;Kiwiberries:4.68;Licorice:56.78;Blackberries:96.53
89,Mackerel:44.42
90,Jewfish:2.78;Rice Noodles:56.04
91,Lamb:33.03;Anchovies:98.29
92,Custard ApplesDaikon:71.39;Mackerel:47.26;PepitasPepper:14.79;Squid:27.07
93,PepitasPepper:8.09;Fennel:4.63;Olive Oil:4.88;Shark:54.17
94,Mahlab:87.37;Celery Seed:74.88
95,Walnut:51.51
96,Aniseed:74.52;Hiramasa Kingfish:93.79;Apples:98.64
