1,Lobster:17.18;Annatto seed:58.38;Camomile:83.21,25,complete
2,Sun dried tomatoes:90.16;Mastic:52.69;Nori:63.09;Cabbage:5.35,10,paid
3,Vegetable spaghetti:37.83;Dates:90.88;WhiteFlour:3.24;Caraway Seed:54.29,5,processing
4,Aubergine:56.71;Brown rice vinegar:33.52;dried Chinese Broccoli:51.74,35,paid
5,Sour Dough Bread:35.11,21,shipped
6,Peaches:46.34,14,pending
7,Eggs:84.23;Watermelon:11.16;Cherries:10.4,24,complete
8,Tahini:74.52;Chickory:43.8;Cos lettuce:33.4,12,complete
9,Iceberg lettuce:88.51;Rice paper:66.35;Amaranth:1.5;Walnut:65.26,14,paid
10,Jerusalem Artichoke:59.92,26,complete
11,Pinto Beans:68.42,4,pending
12,Cavalo:70.89;Soy Sauce:62.63,20,complete
13,Lettuce:37.94;Rice paper:23.93;Flaxseed:23.67,19,paid
14,Semolina:12.79;Quinoa:19.0,15,complete
15,Cranberry:85.36,8,pending
16,Ricemilk:5.07,10,processing
17,Adzuki Beans:3.1;Safflower Oil:50.72;Spring Onions:81.61,11,processing
18,FlourRice:2.02;Red cabbage:70.14;Quark Quinc:12.36;Mung Beans:96.45,23,complete
19,Wholewheat flour:0.95,1,processing
20,Cornmeal:32.21;Soba:23.91;Potatoes:81.6,25,complete
21,Ricemilk:38.96;Celery Seed:53.7;SwordfishTabasco:70.52,29,complete
22,Chestnut:40.91;Chives:28.63,15,paid
23,Garlic:15.18;Pecorino:63.11,20,paid
24,Gula MelakaHaloumiHam:1.7;Chia seeds:78.22;Clams:61.12,24,shipped
25,Cabbage:52.42;Tea:54.52;Custard ApplesDaikon:7.65;Wheat:59.56,28,paid
26,Rice Syrup:98.45,26,shipped
27,Apples:61.87;Garlic:64.36,27,shipped
28,Oatmeal:55.88;Celery:14.88;Sake:16.81;Smoked Trout:40.67,25,shipped
29,Radish:53.09;Water:26.37,9,shipped
30,Edam:7.0;Beef Stock:72.47;Turmeric:59.35;Coconut:62.62,18,complete
31,Capers:20.66;Tarragon:36.04;Arborio rice:67.06;Bean Shoots:41.97,13,processing
32,CarobCarrot:76.72;Coriander Seed:11.02,12,complete
33,Soymilk:47.55;Longan:14.86;Fish Sauce:85.19;Cashews:28.49,14,shipped
34,Brown Flour:16.12;Choy Sum:87.67,7,processing
35,Pumpkin Seed:24.63,31,paid
